#{"t_start": 1615654246.0842369, "env_id": "MountainCarContinuous-v0"}
r,l,t
94.528738,79,1816.794201
93.966932,87,1816.904299
94.423794,80,1817.007027
94.637662,78,1817.093062
94.802313,77,1817.17346
94.983217,76,1817.251239
95.133731,75,1817.337887
94.071157,85,1817.424867
95.182774,75,1817.501627
94.074877,85,1817.589214
95.127626,75,1817.666116
94.528572,79,1817.747167
95.161455,75,1817.826608
94.332032,81,1817.909294
94.108815,84,1817.999729
95.182863,75,1818.074766
94.068331,85,1818.173726
94.827586,77,1818.268971
94.963316,76,1818.360381
94.056671,85,1818.462481
94.424572,80,1818.560263
94.653635,78,1818.654566
94.993092,76,1818.755176
94.993879,76,1818.847758
94.5267,79,1818.954576
95.127616,75,1819.046278
94.650405,78,1819.141707
94.328701,81,1819.237043
94.771232,77,1819.314729
94.647961,78,1819.392877
94.253195,82,1819.475912
95.179566,75,1819.550992
95.165133,75,1819.62629
93.969561,87,1819.712965
95.00288,76,1819.791102
95.165162,75,1819.867485
94.527142,79,1819.948629
95.123463,75,1820.027839
94.260307,82,1820.111083
94.523792,79,1820.191304
93.929161,87,1820.286464
95.159355,75,1820.378667
94.168028,83,1820.481524
95.157218,75,1820.572021
95.107703,75,1820.663125
94.954582,76,1820.756748
94.779813,77,1820.852002
94.637613,78,1820.948068
94.976512,76,1821.046476
94.104023,84,1821.141821
94.07232,85,1821.225357
94.654541,78,1821.314562
94.423713,80,1821.411283
94.997867,76,1821.503553
95.113949,75,1821.594759
94.047501,85,1821.695801
95.1273,75,1821.78725
94.663597,78,1821.881875
94.257512,82,1821.982627
94.329739,81,1822.085963
95.11376,75,1822.176899
94.781147,77,1822.262413
94.773008,77,1822.350337
94.80857,77,1822.442928
94.423744,80,1822.540451
94.764865,77,1822.634744
94.943488,76,1822.727826
95.115546,75,1822.819643
94.642554,78,1822.914306
95.119557,75,1823.003755
94.998022,76,1823.084825
94.53022,79,1823.181588
95.138702,75,1823.260919
94.529757,79,1823.356443
94.665266,78,1823.451832
94.769493,77,1823.544811
95.142313,75,1823.636873
93.899387,88,1823.743322
94.189248,83,1823.843362
94.988655,76,1823.941081
94.42459,80,1824.044534
95.116284,75,1824.135262
94.957382,76,1824.227198
95.150299,75,1824.318216
94.832062,77,1824.412992
95.131499,75,1824.503679
94.258063,82,1824.601708
94.827044,77,1824.693803
94.656167,78,1824.791272
94.77533,77,1824.883765
94.655422,78,1824.977893
94.653734,78,1825.075215
94.638053,78,1825.155873
94.814436,77,1825.231811
94.63724,78,1825.312635
94.02142,86,1825.417107
94.805471,77,1825.50992
94.052446,85,1825.615222
94.123419,84,1825.712346
95.166922,75,1825.787706
94.247627,82,1825.869544
94.262132,82,1825.951169
94.244091,82,1826.034553
94.167754,83,1826.136687
